Sweden,,,,,
Date,Date,Region,Event,Filter,Source
17-Feb,17/2/2020,National,Government: Avoid travelling to parts of China (recommendation).,Travel regulations,https://www.dn.se/nyheter/varlden/ud-stramar-at-rekommendationerna-for-resor-till-kina/
2-Mar,2/3/20,National,Government: Avoid travelling to Iran (recommendation).,Travel regulations,https://www.regeringen.se/uds-reseinformation/ud-avrader/iran---avradan/
4-Mar,4/3/20,National ,Government: Expanded testing for Covid-19 (travelling in risk areas or pneumonia unknown cause),Testing,https://www.svt.se/nyheter/inrikes/nu-ska-fler-svenskar-testas-for-coronavirus
6-Mar,6/3/20,National ,Government: Avoid travel to South Korea (recommendation),Travel regulations,https://www.regeringen.se/uds-reseinformation/ud-avrader/sydkorea---avradan/
9-Mar,9/3/20,Stockholm,First case of community transmission,Critical cases,https://www.corren.se/nyheter/tidslinje-coronautbrottet-dag-for-dag-om6506361.aspx
10-Mar,10/3/20,National,Government: Avoid travelling to Italy (recommendation).,Travel regulations,https://www.regeringen.se/uds-reseinformation/ud-avrader/italien---avradan/
11-Mar,11/3/20,National,Government: Public meetings with more than 500 people banned (Ban). Paid first day of sick leave (removal of karensdag),Travel regulations,https://www.svt.se/nyheter/snabbkollen/regeringen-stoppar-stora-moten
14-Mar,14/3/2020,National,Government: Avoid all international travel (recommendation).,Travel regulations,https://www.krisinformation.se/nyheter/2020/mars/tank-over-om-resan-ar-nodvandig
17-Mar,17/3/2020,National,Government: Travel from non-EU/EES member states banned (Ban),Travel regulations,https://www.regeringen.se/artiklar/2020/03/fragor-och-svar--inresestopp-till-eu-via-sverige/
19-Mar,19/3/2020,National ,Government: Avoid unnecessary travel within Sweden ,Travel regulations,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/mars/tank-over-om-resan-verkligen-ar-nodvandig/
24-Mar,24/3/2020,National,Government: Restaurants and bars are restricted to mainly table service ,Travel regulations,https://www.svt.se/nyheter/inrikes/nya-forbudet-endast-bordsservering-tillats-pa-restauranger-och-barer
27-Mar,27/3/2020,National,Government: Avoid private meetings with more than 50 people (recommendation). Government: Public meetings with more than 50 people banned (Ban).,Travel regulations,https://sverigesradio.se/sida/artikel.aspx?programid=493&artikel=7440340
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Norway ,,,,,
Date,,Region,Event,Filter,Source
3/4/20,,National ,Ministry of Foreign Affairs maintains travel advice of 14 March,Travel restricion maintained,https://www.regjeringen.no/en/whatsnew/news-and-press-releases/id2006120/
1/4/20,,National ,Norwegian borders to open for entry by some EEA nationals,Travel,https://www.regjeringen.no/en/aktuelt/innreisemuligheter-for-eos-borgere/id2695783/
27/3/2020,,National ,Norwegian Government strengthens emergency preparedness capacity,Society,https://www.regjeringen.no/en/aktuelt/norwegian-government-strengthens-emergency-preparedness-capacity/id2695512/
25/3/2020,,National ,Covid-19 pandemic: Government strengthens humanitarian efforts,Society,https://www.regjeringen.no/en/aktuelt/covid19_efforts/id2694835/
17/3/2020,,National ,Government cooperating with airlines to assist Norwegians in travelling home,Travelling home,https://www.regjeringen.no/en/aktuelt/airlines/id2693871/
16/3/2020,,National ,The Government is establishing clear quarantine and isolation rules,Quaranteen,https://www.regjeringen.no/en/aktuelt/the-government-is-establishing-clear-quarantine-and-isolation-rules/id2693647/
14/3/2020,,National ,New regulations on quarantine etc. after travelling outside the Nordic region,Travel restriction,https://www.regjeringen.no/en/aktuelt/new-regulations-on-quarantine-etc.-after-travelling-outside-the-nordic-region/id2693598/
14/3/2020,,National ,Ministry of Foreign Affairs advises against non-essential travel to all countries,Travel restriction,https://www.regjeringen.no/en/aktuelt/ministry-of-foreign-affairs-advises-against-non-essential-travel-to-all-countries/id2693564/
13/3/2020,,National ,The Norwegian Directorate of Health has issued a decision to close schools and other educational institutions,Society - closing schools,https://www.helsedirektoratet.no/nyheter/the-norwegian-directorate-of-health-has-issued-a-decision-to-close-schools-and-other-educational-institutions
13/3/2020,,National ,The Ministry of Foreign Affairs advises against trips to the United States and France that are not strictly necessary.,Travel restriction,https://www.regjeringen.no/en/aktuelt/travel-advice-for-the-united-states-and-france/id2693550/
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Finland,,,,,
Date,,Region,Event,Filter,Source
3.4.2020,,National,Measures to prevent coronavirus infections in social welfare units providing 24-hour care,Society,https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/koronavirustartuntoja-ehkaistava-monin-tavoin-sosiaalihuollon-ymparivuorokautisen-hoidon-toimintayksikoissa
3.4.2020,,National,Information on coronavirus sent to every household,Society - public information,https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/kansalaiskirje-koronaviruksesta-on-lahtenyt-koteihin
3.4.2020,,National,Restaurants to close everywhere in Finland at midnight on Friday due to the coronavirus epidemic,Resturants closing,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1410877/ravintolat-sulkeutuvat-koko-maassa-perjantaina-puolen-yon-aikaan-koronavirusepidemian-vuoksi
3.4.2020,,National,People have equal access to services in the coronavirus situation - everyone has access to the help and care they need,Society - equal health care services,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1271139/yhdenvertaisuus-toteutuu-koronavirustilanteessa-jokainen-saa-tarvitsemansa-avun-ja-hoidon
